Time_s,BCL_Filtered,BCC_Filtered
8.3585,-1.16223057963486e-05,1.17363133970004e-05
8.359,-4.12491290963517e-06,2.17245329323718e-05
8.3595,4.65230357445309e-06,3.45933111924259e-05
8.36,1.30445714646022e-05,4.73695403078591e-05
8.3605,1.92856332243102e-05,5.722853973065e-05
8.361,2.22692608077552e-05,6.35042610627431e-05
8.3615,2.20540508687438e-05,6.69715955901954e-05
8.362,2.05853275383992e-05,6.84049797821015e-05
8.3625,2.09194647516959e-05,6.85783770907382e-05
8.363,2.44320623410642e-05,6.86725883338053e-05
8.3635,2.93278364265851e-05,6.92891439901589e-05
8.364,3.26817090796201e-05,6.90727295009637e-05
8.3645,3.30339129479087e-05,6.54401994854106e-05
8.365,3.02813824239899e-05,5.72518373571028e-05
8.3655,2.44589920396306e-05,4.61767943566455e-05
8.366,1.60150358104086e-05,3.47922604418752e-05
8.3665,6.48206989581178e-06,2.3709136957435e-05
8.367,-2.18883359182862e-06,1.14455189340467e-05
8.3675,-8.44729558639902e-06,-2.73063482720977e-06
8.368,-1.10376458837817e-05,-1.68011407024231e-05
8.3685,-9.39386099154037e-06,-2.7915003429747e-05
8.369,-4.95527163726816e-06,-3.61546136579005e-05
8.3695,-1.02187497795987e-06,-4.4883687973831e-05
8.37,-1.8203195445254e-07,-5.62834547806388e-05
8.3705,-2.15314916262504e-06,-6.74795100226924e-05
8.371,-4.65792458021634e-06,-7.26852725223204e-05
8.3715,-5.98521956889137e-06,-6.91828598936543e-05
8.372,-6.14278173233682e-06,-6.02716168693935e-05
8.3725,-6.00522158068991e-06,-5.24126642545455e-05
8.373,-6.34182843127201e-06,-5.0012337305957e-05
8.3735,-7.79054521381333e-06,-5.25432044682397e-05
8.374,-1.08821567705909e-05,-5.58157661940423e-05
8.3745,-1.53203261398794e-05,-5.55678680104964e-05
8.375,-1.93992373338214e-05,-4.99009794421543e-05
8.3755,-2.09483787178783e-05,-3.93128941241039e-05
8.376,-1.93351597352424e-05,-2.605891507048e-05
8.3765,-1.61067192577812e-05,-1.36007900708039e-05
8.377,-1.32149606593533e-05,-4.85661161335123e-06
8.3775,-1.12133754608517e-05,1.08319153096039e-08
8.378,-9.87793278896801e-06,3.2957035631788e-06
8.3785,-9.76276871456216e-06,6.94842622358888e-06
8.379,-1.16615801173758e-05,1.09065877571889e-05
