Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
24.4585,7.44296218099605e-06,3.57629032629527e-05
24.459,7.44369512234763e-06,3.5711579649842e-05
24.4595,7.44454661289209e-06,3.56594604755478e-05
24.46,7.44551825896575e-06,3.560655215186e-05
24.4605,7.4466116377011e-06,3.55528612843897e-05
24.461,7.44782829634594e-06,3.54983946724371e-05
24.4615,7.44916975158973e-06,3.54431593088191e-05
24.462,7.45063748889762e-06,3.53871623796538e-05
24.4625,7.45223296185263e-06,3.53304112641014e-05
24.463,7.45395759150651e-06,3.52729135340598e-05
24.4635,7.45581276573962e-06,3.52146769538144e-05
24.464,7.4577998386303e-06,3.51557094796401e-05
24.4645,7.45992012983413e-06,3.50960192593535e-05
24.465,7.46217492397346e-06,3.50356146318155e-05
24.4655,7.46456547003755e-06,3.49745041263809e-05
24.466,7.46709298079384e-06,3.49126964622948e-05
24.4665,7.46975863221046e-06,3.48502005480334e-05
24.467,7.4725635628906e-06,3.47870254805882e-05
24.4675,7.47550887351889e-06,3.47231805446928e-05
24.468,7.47859562632033e-06,3.46586752119902e-05
24.4685,7.481824844532e-06,3.45935191401406e-05
24.469,7.48519751188794e-06,3.45277221718687e-05
24.4695,7.48871457211751e-06,3.4461294333949e-05
24.47,7.49237692845752e-06,3.43942458361309e-05
24.4705,7.49618544317852e-06,3.43265870700001e-05
24.471,7.50014093712536e-06,3.42583286077792e-05
24.4715,7.50424418927251e-06,3.41894812010646e-05
24.472,7.50849593629427e-06,3.41200557795005e-05
24.4725,7.51289687215025e-06,3.40500634493898e-05
24.473,7.51744764768641e-06,3.39795154922404e-05
24.4735,7.52214887025192e-06,3.39084233632472e-05
24.474,7.52700110333202e-06,3.38367986897091e-05
24.4745,7.53200486619732e-06,3.37646532693808e-05
24.475,7.53716063356956e-06,3.36919990687578e-05
24.4755,7.54246883530424e-06,3.36188482212971e-05
24.476,7.54792985609026e-06,3.35452130255705e-05
24.4765,7.55354403516686e-06,3.34711059433532e-05
24.477,7.55931166605808e-06,3.33965395976459e-05
24.4775,7.56523299632485e-06,3.33215267706331e-05
24.478,7.5713082273351e-06,3.32460804015765e-05
24.4785,7.57753751405176e-06,3.31702135846454e-05
24.479,7.58392096483906e-06,3.30939395666847e-05
24.4795,7.59045864128697e-06,3.30172717449212e-05
24.48,7.59715055805411e-06,3.29402236646103e-05
24.4805,7.60399668272898e-06,3.28628090166227e-05
24.481,7.61099693570967e-06,3.27850416349736e-05
24.4815,7.61815119010213e-06,3.27069354942938e-05
24.482,7.62545927163692e-06,3.26285047072453e-05
24.4825,7.6329209586047e-06,3.25497635218801e-05
24.483,7.64053598181029e-06,3.24707263189451e-05
24.4835,7.64830402454547e-06,3.23914076091319e-05
24.484,7.65622472258058e-06,3.23118220302733e-05
24.4845,7.6642976641748e-06,3.22319843444876e-05
24.485,7.6725223901053e-06,3.21519094352698e-05
24.4855,7.68089839371503e-06,3.20716123045323e-05
24.486,7.68942512097941e-06,3.19911080695957e-05
24.4865,7.69810197059168e-06,3.19104119601292e-05
24.487,7.70692829406711e-06,3.18295393150442e-05
24.4875,7.71590339586596e-06,3.17485055793398e-05
24.488,7.72502653353525e-06,3.16673263009028e-05
24.4885,7.73429691786925e-06,3.15860171272627e-05
24.489,7.74371371308889e-06,3.15045938023023e-05
24.4895,7.75327603703973e-06,3.14230721629259e-05
24.49,7.76298296140876e-06,3.1341468135685e-05
24.4905,7.7728335119598e-06,3.12597977333621e-05
24.491,7.78282666878742e-06,3.11780770515142e-05
24.4915,7.79296136658937e-06,3.10963222649762e-05
24.492,7.80323649495732e-06,3.10145496243242e-05
24.4925,7.81365089868576e-06,3.09327754522999e-05
24.493,7.82420337809899e-06,3.08510161401971e-05
24.4935,7.83489268939594e-06,3.07692881442093e-05
24.494,7.8457175450127e-06,3.06876079817406e-05
24.4945,7.85667661400269e-06,3.06059922276797e-05
24.495,7.86776852243419e-06,3.0524457510638e-05
24.4955,7.87899185380524e-06,3.0443020509152e-05
24.496,7.89034514947567e-06,3.03616979478519e-05
24.4965,7.90182690911621e-06,3.02805065935951e-05
24.497,7.91343559117435e-06,3.01994632515683e-05
24.4975,7.92516961335701e-06,3.01185847613553e-05
24.498,7.93702735312957e-06,3.00378879929745e-05
24.4985,7.94900714823124e-06,2.99573898428841e-05
24.499,7.96110729720639e-06,2.98771072299572e-05
24.4995,7.9733260599517e-06,2.97970570914272e-05
24.5,7.98566165827889e-06,2.97172563788028e-05
24.5005,7.99811227649258e-06,2.96377220537565e-05
24.501,8.01067606198323e-06,2.95584710839846e-05
24.5015,8.02335112583465e-06,2.94795204390412e-05
24.502,8.03613554344583e-06,2.94008870861477e-05
24.5025,8.0490273551668e-06,2.93225879859787e-05
24.503,8.06202456694803e-06,2.92446400884256e-05
24.5035,8.07512515100314e-06,2.91670603283392e-05
24.504,8.08832704648432e-06,2.90898656212541e-05
24.5045,8.10162816017021e-06,2.90130728590942e-05
24.505,8.11502636716554e-06,2.8936698905863e-05
24.5055,8.12851951161227e-06,2.88607605933175e-05
24.506,8.14210540741153e-06,2.87852747166303e-05
24.5065,8.15578183895583e-06,2.87102580300375e-05
24.507,8.16954656187116e-06,2.8635727242477e-05
24.5075,8.18339730376814e-06,2.85616990132162e-05
24.508,8.19733176500197e-06,2.84881899474723e-05
24.5085,8.21134761944038e-06,2.84152165920257e-05
24.509,8.22544251523923e-06,2.83427954308278e-05
24.5095,8.23961407562514e-06,2.82709428806069e-05
24.51,8.25385989968462e-06,2.8199675286471e-05
24.5105,8.2681775631592e-06,2.81290089175121e-05
24.511,8.28256461924594e-06,2.80589599624121e-05
24.5115,8.29701859940288e-06,2.79895445250535e-05
24.512,8.31153701415874e-06,2.79207786201353e-05
24.5125,8.32611735392644e-06,2.7852678168798e-05
24.513,8.34075708981973e-06,2.77852589942579e-05
24.5135,8.35545367447251e-06,2.77185368174542e-05
24.514,8.37020454286006e-06,2.76525272527092e-05
